CountryCode,Year,TreeCoverLoss_ha,GrossEmissions_Co2_all_gases_Mg
AFG,2001,88.09271247,22268.90538
AGO,2001,101220.6215,36876624.22
AIA,2001,3.878460708,626.700335
ALA,2001,396.9348257,75897.87351
ALB,2001,3729.021031,1333222.676
AND,2001,1.654212948,593.7030611
ARG,2001,147805.9504,31607823.4
ARM,2001,131.8406123,39565.19914
ATG,2001,24.07418944,6749.782437
AUS,2001,218816.3021,32424288.62
AUT,2001,6926.269008,2785494.757
AZE,2001,553.2993561,153323.7068
BDI,2001,1417.246957,476065.518
BEL,2001,971.4881953,420925.7127
BEN,2001,3749.331105,1104927.968
BES,2001,3.031857253,246.5132989
BFA,2001,59.47710511,14104.9991
BGD,2001,4586.997203,2332145.635
BGR,2001,8202.319112,2319643.163
BHS,2001,432.9994197,80406.35149
BIH,2001,1496.107105,614342.3628
BLR,2001,18358.96428,5020576.055
BLZ,2001,8211.629493,3485685.453
BMU,2001,0.195819794,64.06545188
BOL,2001,140321.2605,62226665.08
BRA,2001,2746361.557,1177964711
BRB,2001,12.36746156,3457.852084
BRN,2001,1244.453823,831201.9305
BTN,2001,297.6596315,172240.0737
BWA,2001,130.9838815,21149.78394
CAF,2001,31282.43685,14086047.31
CAN,2001,1358154.799,256771843.7
CHE,2001,1165.213247,557687.6432
CHL,2001,72711.30281,20878578.5
CHN,2001,230289.1153,88004209.53
CIV,2001,122711.4502,45844556.75
CMR,2001,39203.71718,19586487.56
COD,2001,455516.739,249893443.8
COG,2001,27030.69622,13929408.94
COL,2001,230054.8357,112036204.7
COM,2001,36.97369321,17548.63372
CPV,2001,7.136450794,0
CRI,2001,15461.87945,6911089.055
CUB,2001,18942.90878,5201655.648
CUW,2001,0.902788526,161.2397978
CYM,2001,20.6816122,3919.030096
CYP,2001,78.62890207,18347.56642
CZE,2001,3460.142586,1311734.837
DEU,2001,15286.38057,6105155.373
DMA,2001,22.79275551,12916.54605
DNK,2001,4329.295853,1041158.497
DOM,2001,11246.81007,4101166.911
DZA,2001,3468.760252,869336.7558
ECU,2001,45002.46871,24640083.52
EGY,2001,147.7649427,28995.45654
ERI,2001,2.529524333,975.2448387
ESP,2001,32811.05352,9925381.89
EST,2001,16872.43451,3703047.135
ETH,2001,11947.24724,5104492.617
FIN,2001,151003.2605,27741267.12
FJI,2001,1097.764054,571609.9962
FRA,2001,34420.96339,12741582.79
GAB,2001,15082.63773,8578859.033
GBR,2001,23244.12725,7561956.509
GEO,2001,666.5563666,245258.4258
GGY,2001,0.957678036,249.6514892
GHA,2001,43644.05617,16586709.22
GIB,2001,0.187285637,41.34495781
GIN,2001,18571.52586,6477901.189
GLP,2001,320.7023856,115244.3976
GMB,2001,3.297421863,690.3373855
GNB,2001,2362.153028,733456.2864
GNQ,2001,3585.419101,2181744.054
GRC,2001,12616.82202,3176232.244
GRD,2001,32.81085887,18217.29802
GTM,2001,53310.17515,21223630.42
GUF,2001,3033.287749,2260496.445
GUY,2001,10039.86771,6249182.865
HKG,2001,7.981291214,3318.767159
HND,2001,42380.17446,17513097.7
HRV,2001,3378.489604,1176255.026
HTI,2001,2469.048298,830884.5434
HUN,2001,7522.059332,2539773.823
IDN,2001,744087.9891,459279420.8
IMN,2001,15.97543762,4487.320095
IND,2001,62361.1745,30907246.39
IRL,2001,9559.474141,3747097.571
IRN,2001,332.4837054,76816.11879
IRQ,2001,16.02663642,4078.121179
ISR,2001,145.9652381,30333.32408
ITA,2001,9871.496932,2541811.613
